library,title,year,imdb_id,imdb_rating,imdb_votes,rt_score,plex_rating,file,decision,reason,misidentified_hint
Animación 2D,101 dálmatas,1961,,,,,9.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/101 dálmatas (1961).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Aladdín,1992,,,,,9.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Aladdin (1992).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Alicia en el País de las Maravillas,1951,,,,,8.4,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Alicia en el País de las Maravillas (1951).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Anastasia,1997,,,,,8.2,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Anastasia (1997).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Astérix y la residencia de los dioses,2014,,,,,7.1,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/Asterix La Residencia De Los Dioses (2014).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Atlantis: El imperio perdido,2001,,,,,4.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Atlantis El imperio perdido (2001).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Bambi,1942,,,,,9.1,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Bambi (1942).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,"Basil, el ratón superdetective",1986,,,,,7.8,"/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Basil, El Raton Superdetective (1986).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Blancanieves y los siete enanitos,1937,,,,,9.7,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Blancanieves y los Siete Enanitos (1937).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,Dumbo,1941,,,,,,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/Dumbo (1941).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El dragón chiflado,1941,,,,,10.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El dragon chiflado (1941).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El gigante de hierro,1999,,,,,9.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/El gigante de hierro (1999).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El jorobado de Notre Dame,1996,,,,,8.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El Jorobado De Notre Dame (1996).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El planeta del tesoro,2002,,,,,6.8,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El.planeta.del.tesoro.(2002).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El príncipe de Egipto,1998,,,,,,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/El principe de egipto (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El rey león,1994,,,,,,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El rey leon (1994).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El rey león 2: El tesoro de Simba,1998,,,,,6.7,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El Rey León 2 (1998).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El rey león 3: Hakuna Matata,2004,,,,,7.6,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/01. Disney/El Rey León3 Hakuna Matata (2004).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 2D,El secreto del libro de Kells,2009,,,,,9.0,/mnt/Infantil_01/03. Peliculas animación/01. Dibujos clasicos/02. Otros productores/El Secreto Del Libro De Kells (2009).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
