decision,file,file_size,file_size_bytes,guid,imdb_id,imdb_id_hint,imdb_rating,imdb_votes,library,misidentified_hint,omdb_json,plex_rating,poster_url,rating_key,reason,rt_score,source,thumb,title,trailer_url,wikidata_id,wikipedia_title,year
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/09. Thriller/Ahora Me Ves (2013).mkv,3152869540,3152869540,plex://movie/5d7768b907c4a5001e67bb61,tt1670345,tt1670345,7.2,750270,Películas,Title mismatch: Plex='Ahora me ves' vs OMDb='Now You See Me' (sim=0.31),"{""Title"": ""Now You See Me"", ""Year"": ""2013"", ""Rated"": ""PG-13"", ""Released"": ""31 May 2013"", ""Runtime"": ""115 min"", ""Genre"": ""Crime, Mystery, Thriller"", ""Director"": ""Louis Leterrier"", ""Writer"": ""Ed Solomon, Boaz Yakin, Edward Ricourt"", ""Actors"": ""Jesse Eisenberg, Common, Mark Ruffalo"", ""Plot"": ""An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."", ""Language"": ""English, French"", ""Country"": ""United States, France"", ""Awards"": ""1 win & 3 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.2/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""51%""}, {""Source"": ""Metacritic"", ""Value"": ""50/100""}], ""Metascore"": ""50"", ""imdbRating"": ""7.2"", ""imdbVotes"": ""750,270"", ""imdbID"": ""tt1670345"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$117,723,989"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",5.1,https://m.media-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg,20727,score_bayes=7.20 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,51,plex,/library/metadata/20727/thumb/1743898621,Ahora me ves,N/A,,,2013
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/05. Ficcion/Oblivion (2013).mkv,5749420206,5749420206,plex://movie/5d7768b96f6af7001ee5bc7f,tt1483013,tt1483013,7.0,577039,Películas,,"{""Title"": ""Oblivion"", ""Year"": ""2013"", ""Rated"": ""PG-13"", ""Released"": ""19 Apr 2013"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Joseph Kosinski"", ""Writer"": ""Karl Gajdusek, Michael Arndt, Joseph Kosinski"", ""Actors"": ""Tom Cruise, Morgan Freeman, Andrea Riseborough"", ""Plot"": ""A stranger's arrival triggers one man's battle to save mankind."", ""Language"": ""English"", ""Country"": ""United States, Iceland, Japan, United Kingdom"", ""Awards"": ""1 win & 17 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""53%""}, {""Source"": ""Metacritic"", ""Value"": ""54/100""}], ""Metascore"": ""54"", ""imdbRating"": ""7.0"", ""imdbVotes"": ""577,039"", ""imdbID"": ""tt1483013"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$89,107,235"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,https://m.media-amazon.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_SX300.jpg,24027,score_bayes=7.00 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,53,plex,/library/metadata/24027/thumb/1755759458,Oblivion,N/A,,,2013
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/05. Ficcion/El efecto mariposa (2004).mkv,6124718131,6124718131,plex://movie/5d77682a5af944001f1f770a,tt0289879,tt0289879,7.6,549088,Películas,Title mismatch: Plex='El efecto mariposa' vs OMDb='The Butterfly Effect' (sim=0.42),"{""Title"": ""The Butterfly Effect"", ""Year"": ""2004"", ""Rated"": ""R"", ""Released"": ""23 Jan 2004"", ""Runtime"": ""113 min"", ""Genre"": ""Drama, Sci-Fi, Thriller"", ""Director"": ""Eric Bress, J. Mackye Gruber"", ""Writer"": ""J. Mackye Gruber, Eric Bress"", ""Actors"": ""Ashton Kutcher, Amy Smart, Melora Walters"", ""Plot"": ""Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."", ""Language"": ""English"", ""Country"": ""United States, Canada"", ""Awards"": ""1 win & 8 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZDk0ZDJiODEtNWM2ZC00OWYxLWExN2YtNTFlNjI4NTVmZmZmXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""34%""}, {""Source"": ""Metacritic"", ""Value"": ""30/100""}], ""Metascore"": ""30"", ""imdbRating"": ""7.6"", ""imdbVotes"": ""549,088"", ""imdbID"": ""tt0289879"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$57,938,693"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",3.4,https://m.media-amazon.com/images/M/MV5BZDk0ZDJiODEtNWM2ZC00OWYxLWExN2YtNTFlNjI4NTVmZmZmXkEyXkFqcGc@._V1_SX300.jpg,22968,score_bayes=7.60 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,34,plex,/library/metadata/22968/thumb/1749918470,El efecto mariposa,N/A,,,2004
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/05. Ficcion/Passengers (2016).mkv,5092068154,5092068154,plex://movie/5d776ae923d5a3001f50a730,tt1355644,tt1355644,7.0,485835,Películas,,"{""Title"": ""Passengers"", ""Year"": ""2016"", ""Rated"": ""PG-13"", ""Released"": ""21 Dec 2016"", ""Runtime"": ""116 min"", ""Genre"": ""Drama, Romance, Sci-Fi"", ""Director"": ""Morten Tyldum"", ""Writer"": ""Jon Spaihts"", ""Actors"": ""Jennifer Lawrence, Chris Pratt, Michael Sheen"", ""Plot"": ""A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early."", ""Language"": ""English, Spanish, Japanese, French"", ""Country"": ""Hong Kong, Australia, United States"", ""Awards"": ""Nominated for 2 Oscars. 2 wins & 12 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYzRjNTFmMzQtM2JhZi00ZTI0LTlhMjMtNzQ4YWRhZGVmZWRmXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.0/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""30%""}, {""Source"": ""Metacritic"", ""Value"": ""41/100""}], ""Metascore"": ""41"", ""imdbRating"": ""7.0"", ""imdbVotes"": ""485,835"", ""imdbID"": ""tt1355644"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$100,014,699"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",3.0,https://m.media-amazon.com/images/M/MV5BYzRjNTFmMzQtM2JhZi00ZTI0LTlhMjMtNzQ4YWRhZGVmZWRmXkEyXkFqcGc@._V1_SX300.jpg,20658,score_bayes=7.01 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,30,plex,/library/metadata/20658/thumb/1742753028,Passengers,N/A,,,2016
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/01. Accion/Shooter (2007).mkv,5643801126,5643801126,plex://movie/5d776d08ad5437001f7cb1e3,tt0822854,tt0822854,7.1,371811,Películas,,"{""Title"": ""Shooter"", ""Year"": ""2007"", ""Rated"": ""R"", ""Released"": ""23 Mar 2007"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Drama, Thriller"", ""Director"": ""Antoine Fuqua"", ""Writer"": ""Stephen Hunter, Jonathan Lemkin"", ""Actors"": ""Mark Wahlberg, Michael Peña, Danny Glover"", ""Plot"": ""An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assassination attempt he was trying to prevent, he sets out for the r..."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""2 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYmE0NWZiMjktY2U4MC00MDVmLTljMGMtMWZiMThiNjczNzViXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""47%""}, {""Source"": ""Metacritic"", ""Value"": ""53/100""}], ""Metascore"": ""53"", ""imdbRating"": ""7.1"", ""imdbVotes"": ""371,811"", ""imdbID"": ""tt0822854"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$47,003,582"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",6.0,https://m.media-amazon.com/images/M/MV5BYmE0NWZiMjktY2U4MC00MDVmLTljMGMtMWZiMThiNjczNzViXkEyXkFqcGc@._V1_SX300.jpg,28877,score_bayes=7.10 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,47,plex,/library/metadata/28877/thumb/1761983380,Shooter: El tirador,N/A,,,2007
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/10. Belica/Pearl Harbor (2001).mkv,2987116597,2987116597,plex://movie/5d77682785719b001f3a0d8d,tt0213149,tt0213149,6.3,365740,Películas,,"{""Title"": ""Pearl Harbor"", ""Year"": ""2001"", ""Rated"": ""PG-13"", ""Released"": ""25 May 2001"", ""Runtime"": ""183 min"", ""Genre"": ""Action, Drama, Romance"", ""Director"": ""Michael Bay"", ""Writer"": ""Randall Wallace"", ""Actors"": ""Ben Affleck, Kate Beckinsale, Josh Hartnett"", ""Plot"": ""A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941."", ""Language"": ""English, Japanese, French, Latin, Chinese"", ""Country"": ""United States"", ""Awards"": ""Won 1 Oscar. 14 wins & 51 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""24%""}, {""Source"": ""Metacritic"", ""Value"": ""44/100""}], ""Metascore"": ""44"", ""imdbRating"": ""6.3"", ""imdbVotes"": ""365,740"", ""imdbID"": ""tt0213149"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$198,542,554"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,https://m.media-amazon.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg,21927,score_bayes=6.31 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,24,plex,/library/metadata/21927/thumb/1764640928,Pearl Harbor,N/A,,,2001
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/03. Comedia/La Vida Secreta De Walter Mitty (2013).mkv,5788570098,5788570098,plex://movie/5d7769697a53e9001e6e5a8d,tt0359950,tt0359950,7.3,362419,Películas,,"{""Title"": ""The Secret Life of Walter Mitty"", ""Year"": ""2013"", ""Rated"": ""PG"", ""Released"": ""25 Dec 2013"", ""Runtime"": ""114 min"", ""Genre"": ""Adventure, Comedy, Drama"", ""Director"": ""Ben Stiller"", ""Writer"": ""Steve Conrad, James Thurber"", ""Actors"": ""Ben Stiller, Kristen Wiig, Jon Daly"", ""Plot"": ""When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined."", ""Language"": ""English, Spanish, Icelandic"", ""Country"": ""United States, United Kingdom"", ""Awards"": ""5 wins & 18 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""52%""}, {""Source"": ""Metacritic"", ""Value"": ""54/100""}], ""Metascore"": ""54"", ""imdbRating"": ""7.3"", ""imdbVotes"": ""362,419"", ""imdbID"": ""tt0359950"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$58,236,838"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,https://m.media-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg,20573,score_bayes=7.30 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,52,plex,/library/metadata/20573/thumb/1756087430,La vida secreta de Walter Mitty,N/A,,,2013
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/05. Ficcion/El libro de Eli (2010).mkv,5283227592,5283227592,plex://movie/5d7768452ec6b5001f6beaa6,tt1037705,tt1037705,6.8,354627,Películas,,"{""Title"": ""The Book of Eli"", ""Year"": ""2010"", ""Rated"": ""R"", ""Released"": ""15 Jan 2010"", ""Runtime"": ""118 min"", ""Genre"": ""Action, Adventure, Drama"", ""Director"": ""Albert Hughes, Allen Hughes"", ""Writer"": ""Gary Whitta"", ""Actors"": ""Denzel Washington, Mila Kunis, Ray Stevenson"", ""Plot"": ""A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""3 wins & 16 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZjk4N2U2YTAtNWEzZC00N2VmLTlkNDctMjg5YjI4OTExZTFhXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""46%""}, {""Source"": ""Metacritic"", ""Value"": ""53/100""}], ""Metascore"": ""53"", ""imdbRating"": ""6.8"", ""imdbVotes"": ""354,627"", ""imdbID"": ""tt1037705"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$94,835,059"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,https://m.media-amazon.com/images/M/MV5BZjk4N2U2YTAtNWEzZC00N2VmLTlkNDctMjg5YjI4OTExZTFhXkEyXkFqcGc@._V1_SX300.jpg,27084,score_bayes=6.81 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,46,plex,/library/metadata/27084/thumb/1758673494,El libro de Eli,N/A,,,2010
MAYBE,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Shrek 3 (2007).mkv,1349595473,1349595473,plex://movie/5d7768273c3c2a001fbcb521,tt0413267,tt0413267,6.1,354294,Animación 3D,,"{""Title"": ""Shrek the Third"", ""Year"": ""2007"", ""Rated"": ""PG"", ""Released"": ""18 May 2007"", ""Runtime"": ""93 min"", ""Genre"": ""Animation, Adventure, Comedy"", ""Director"": ""Chris Miller, Raman Hui"", ""Writer"": ""William Steig, Andrew Adamson, Jeffrey Price"", ""Actors"": ""Mike Myers, Eddie Murphy, Cameron Diaz"", ""Plot"": ""Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""Nominated for 1 BAFTA Award5 wins & 17 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""41%""}, {""Source"": ""Metacritic"", ""Value"": ""58/100""}], ""Metascore"": ""58"", ""imdbRating"": ""6.1"", ""imdbVotes"": ""354,294"", ""imdbID"": ""tt0413267"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$322,719,944"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",4.1,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg,14606,score_bayes=6.12 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,41,plex,/library/metadata/14606/thumb/1760749050,Shrek tercero,N/A,,,2007
MAYBE,/mnt/ADULTOS_VOL_00/00.Movies/01. Accion/El reino de los cielos (2005).mkv,8163816970,8163816970,plex://movie/5d7768293c3c2a001fbcbc90,tt0320661,tt0320661,7.3,342434,Películas,Title mismatch: Plex='El reino de los cielos' vs OMDb='Kingdom of Heaven' (sim=0.31),"{""Title"": ""Kingdom of Heaven"", ""Year"": ""2005"", ""Rated"": ""R"", ""Released"": ""06 May 2005"", ""Runtime"": ""144 min"", ""Genre"": ""Action, Adventure, Drama"", ""Director"": ""Ridley Scott"", ""Writer"": ""William Monahan"", ""Actors"": ""Orlando Bloom, Eva Green, Liam Neeson"", ""Plot"": ""Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."", ""Language"": ""English, Arabic, Latin, Italian, German"", ""Country"": ""United Kingdom, Germany, Spain, Morocco, United States, Italy, France"", ""Awards"": ""5 wins & 15 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMzdhNGZhMjQtYjVmNy00OWMyLTk1MmQtZGNhZDYwMzZlZjI3XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""39%""}, {""Source"": ""Metacritic"", ""Value"": ""63/100""}], ""Metascore"": ""63"", ""imdbRating"": ""7.3"", ""imdbVotes"": ""342,434"", ""imdbID"": ""tt0320661"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$47,527,678"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,https://m.media-amazon.com/images/M/MV5BMzdhNGZhMjQtYjVmNy00OWMyLTk1MmQtZGNhZDYwMzZlZjI3XkEyXkFqcGc@._V1_SX300.jpg,23606,score_bayes=7.30 entre umbral DELETE=4.90 y KEEP=7.60 (evidencia intermedia).,39,plex,/library/metadata/23606/thumb/1752712370,El reino de los cielos,N/A,,,2005
