library,title,year,plex_rating,imdb_rating,imdb_votes,rt_score,metacritic_score,decision,reason,misidentified_hint,file,file_size,rating_key,guid,imdb_id,poster_url,trailer_url,thumb,omdb_json,wikidata_id,wikipedia_title
Sagas,Luna nueva,2009,2.8,4.8,317190,28,44,DELETE,"score_bayes=4.84 ≤ umbral DELETE=4.90 (R=4.8, v=317190, m=5000, C=7.14); además RT=28% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).",Title mismatch: Plex='Luna nueva' vs OMDb='The Twilight Saga: New Moon' (sim=0.28),/mnt/Sagas/00.Sagas/Crepusculo/Crepúsculo Luna nueva (2009).mkv,5599322575,23727,plex://movie/5d776841880197001ec95c60,tt1259571,https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,N/A,/library/metadata/23727/thumb/1761533044,"{""Title"": ""The Twilight Saga: New Moon"", ""Year"": ""2009"", ""Rated"": ""PG-13"", ""Released"": ""20 Nov 2009"", ""Runtime"": ""130 min"", ""Genre"": ""Adventure, Drama, Fantasy"", ""Director"": ""Chris Weitz"", ""Writer"": ""Melissa Rosenberg, Stephenie Meyer"", ""Actors"": ""Kristen Stewart, Robert Pattinson, Taylor Lautner"", ""Plot"": ""After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend, but what Bella doesn't realize is that Jacob also has a secret that will suddenly change their lives."", ""Language"": ""English, Italian"", ""Country"": ""United States"", ""Awards"": ""23 wins & 24 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""28%""}, {""Source"": ""Metacritic"", ""Value"": ""44/100""}], ""Metascore"": ""44"", ""imdbRating"": ""4.8"", ""imdbVotes"": ""317,190"", ""imdbID"": ""tt1259571"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$298,410,482"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Eclipse,2010,4.6,5.1,275884,46,58,DELETE,score_bayes=5.14 cercano al umbral DELETE=4.90 y RT=46% muy baja (≤ 50); el público es claramente negativo.,,/mnt/Sagas/00.Sagas/Crepusculo/Crepúsculo Eclipse (2010).mkv,5311183791,23411,plex://movie/5d77684c880197001ec976fc,tt1325004,https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_SX300.jpg,N/A,/library/metadata/23411/thumb/1761532997,"{""Title"": ""The Twilight Saga: Eclipse"", ""Year"": ""2010"", ""Rated"": ""PG-13"", ""Released"": ""30 Jun 2010"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Adventure, Drama"", ""Director"": ""David Slade"", ""Writer"": ""Melissa Rosenberg, Stephenie Meyer"", ""Actors"": ""Kristen Stewart, Robert Pattinson, Taylor Lautner"", ""Plot"": ""As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""23 wins & 35 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""5.1/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""46%""}, {""Source"": ""Metacritic"", ""Value"": ""58/100""}], ""Metascore"": ""58"", ""imdbRating"": ""5.1"", ""imdbVotes"": ""275,884"", ""imdbID"": ""tt1325004"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$300,531,751"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Amanecer - Parte 1,2011,2.6,4.9,267699,26,45,DELETE,score_bayes=4.98 cercano al umbral DELETE=4.90 y RT=26% muy baja (≤ 50); el público es claramente negativo.,Title mismatch: Plex='Amanecer - Parte 1' vs OMDb='The Twilight Saga: Breaking Dawn - Part 1' (sim=0.37),/mnt/Sagas/00.Sagas/Crepusculo/Crepúsculo Amanecer Parte 1 (2011).mkv,5014755823,23343,plex://movie/5d77688b594b2b001e68f2f0,tt1324999,https://m.media-amazon.com/images/M/MV5BNjBlY2M2MTctMzU3Yi00MTY3LTlkMTAtMzhlMzY1YjZlYTA2XkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/23343/thumb/1764208094,"{""Title"": ""The Twilight Saga: Breaking Dawn - Part 1"", ""Year"": ""2011"", ""Rated"": ""PG-13"", ""Released"": ""18 Nov 2011"", ""Runtime"": ""117 min"", ""Genre"": ""Adventure, Drama, Fantasy"", ""Director"": ""Bill Condon"", ""Writer"": ""Melissa Rosenberg, Stephenie Meyer"", ""Actors"": ""Kristen Stewart, Robert Pattinson, Taylor Lautner"", ""Plot"": ""The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."", ""Language"": ""English, Portuguese"", ""Country"": ""United States"", ""Awards"": ""11 wins & 22 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BNjBlY2M2MTctMzU3Yi00MTY3LTlkMTAtMzhlMzY1YjZlYTA2XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""26%""}, {""Source"": ""Metacritic"", ""Value"": ""45/100""}], ""Metascore"": ""45"", ""imdbRating"": ""4.9"", ""imdbVotes"": ""267,699"", ""imdbID"": ""tt1324999"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$281,287,133"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Superheroes,Cuatro Fantásticos,2015,,4.3,190188,9,27,DELETE,"score_bayes=4.44 ≤ umbral DELETE=4.90 (R=4.3, v=190188, m=10000, C=7.14); además RT=9% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).",Title mismatch: Plex='Cuatro Fantásticos' vs OMDb='Fantastic Four' (sim=0.56) | RT muy bajo (9% ≤ 20%) para una peli aparentemente conocida (190188 votos IMDb).,/mnt/Infantil_01/01. Superheroes/01. Marvel/Cuatro Fantasticos (2015).mkv,12895030072,21103,plex://movie/5d7769e1fb0d55001f533175,tt1502712,https://m.media-amazon.com/images/M/MV5BMTk0OTMyMDA0OF5BMl5BanBnXkFtZTgwMzY5NTkzNTE@._V1_SX300.jpg,N/A,/library/metadata/21103/thumb/1762568424,"{""Title"": ""Fantastic Four"", ""Year"": ""2015"", ""Rated"": ""PG-13"", ""Released"": ""07 Aug 2015"", ""Runtime"": ""100 min"", ""Genre"": ""Action, Adventure, Sci-Fi"", ""Director"": ""Josh Trank"", ""Writer"": ""Jeremy Slater, Simon Kinberg, Josh Trank"", ""Actors"": ""Miles Teller, Michael B. Jordan, Kate Mara"", ""Plot"": ""Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned..."", ""Language"": ""English, Spanish"", ""Country"": ""United States, Germany, United Kingdom, Canada"", ""Awards"": ""8 wins & 4 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTk0OTMyMDA0OF5BMl5BanBnXkFtZTgwMzY5NTkzNTE@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.3/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""9%""}, {""Source"": ""Metacritic"", ""Value"": ""27/100""}], ""Metascore"": ""27"", ""imdbRating"": ""4.3"", ""imdbVotes"": ""190,188"", ""imdbID"": ""tt1502712"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$56,117,548"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Aliens vs. Predator 2,2007,1.2,4.6,143799,12,29,DELETE,"score_bayes=4.69 ≤ umbral DELETE=4.90 (R=4.6, v=143799, m=5000, C=7.14); además RT=12% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).",RT muy bajo (12% ≤ 20%) para una peli aparentemente conocida (143799 votos IMDb).,/mnt/Sagas/00.Sagas/Alien/Aliens Vs. Predator 2 (2007).mkv,2478920164,26204,plex://movie/5d77682685719b001f3a0a6a,tt0758730,https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg,N/A,/library/metadata/26204/thumb/1764299800,"{""Title"": ""Aliens vs. Predator: Requiem"", ""Year"": ""2007"", ""Rated"": ""R"", ""Released"": ""25 Dec 2007"", ""Runtime"": ""94 min"", ""Genre"": ""Action, Horror, Sci-Fi"", ""Director"": ""Colin Strause, Greg Strause"", ""Writer"": ""Shane Salerno, Dan O'Bannon, Ronald Shusett"", ""Actors"": ""Reiko Aylesworth, Steven Pasquale, Shareeka Epps"", ""Plot"": ""Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""5 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""12%""}, {""Source"": ""Metacritic"", ""Value"": ""29/100""}], ""Metascore"": ""29"", ""imdbRating"": ""4.6"", ""imdbVotes"": ""143,799"", ""imdbID"": ""tt0758730"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$41,797,066"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Películas Infantiles,"Howard, un nuevo héroe",1986,1.3,4.8,53326,13,28,DELETE,"score_bayes=4.88 ≤ umbral DELETE=4.90 (R=4.8, v=53326, m=2000, C=7.14); además RT=13% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).","Title mismatch: Plex='Howard, un nuevo héroe' vs OMDb='Howard the Duck' (sim=0.44) | RT muy bajo (13% ≤ 20%) para una peli aparentemente conocida (53326 votos IMDb).",/mnt/Infantil_01/05.Peliculas Infantiles/02. Otras productoras/12. Animales/Howard Un Nuevo Heroe (1986).mkv,2389268573,28969,plex://movie/5d776835a091de001f2e7ffe,tt0091225,https://m.media-amazon.com/images/M/MV5BZTA4ZjJkZjQtNzMwMy00YjJjLTkwYzgtZDY0YmNhZjYzMGExXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/28969/thumb/1762103372,"{""Title"": ""Howard the Duck"", ""Year"": ""1986"", ""Rated"": ""PG"", ""Released"": ""01 Aug 1986"", ""Runtime"": ""110 min"", ""Genre"": ""Action, Adventure, Comedy"", ""Director"": ""Willard Huyck"", ""Writer"": ""Steve Gerber, Willard Huyck, Gloria Katz"", ""Actors"": ""Lea Thompson, Jeffrey Jones, Tim Robbins"", ""Plot"": ""A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer."", ""Language"": ""English, French, Spanish"", ""Country"": ""United States"", ""Awards"": ""5 wins & 4 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BZTA4ZjJkZjQtNzMwMy00YjJjLTkwYzgtZDY0YmNhZjYzMGExXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.8/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""13%""}, {""Source"": ""Metacritic"", ""Value"": ""28/100""}], ""Metascore"": ""28"", ""imdbRating"": ""4.8"", ""imdbVotes"": ""53,326"", ""imdbID"": ""tt0091225"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$16,295,774"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Películas Infantiles,"Cariño, he agrandado al niño",1992,3.8,4.9,48910,38,50,DELETE,score_bayes=4.99 cercano al umbral DELETE=4.90 y RT=38% muy baja (≤ 50); el público es claramente negativo.,"Title mismatch: Plex='Cariño, he agrandado al niño' vs OMDb='Honey, I Blew Up the Kid' (sim=0.28)","/mnt/Infantil_01/05.Peliculas Infantiles/02. Otras productoras/03. Comedia/Cariño, He Agrandado al Niño (1992).mkv",1620767686,27909,plex://movie/5d776836f54112001f5bda0a,tt0104437,https://m.media-amazon.com/images/M/MV5BYWU1ZmYxZmItY2ExMi00NTAwLThhMDItMzhmZGFjN2JlNjRiXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/27909/thumb/1765159958,"{""Title"": ""Honey, I Blew Up the Kid"", ""Year"": ""1992"", ""Rated"": ""PG"", ""Released"": ""17 Jul 1992"", ""Runtime"": ""89 min"", ""Genre"": ""Adventure, Comedy, Family"", ""Director"": ""Randal Kleiser"", ""Writer"": ""Stuart Gordon, Brian Yuzna, Ed Naha"", ""Actors"": ""Rick Moranis, Marcia Strassman, Robert Oliveri"", ""Plot"": ""The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall."", ""Language"": ""English"", ""Country"": ""United States"", ""Awards"": ""10 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BYWU1ZmYxZmItY2ExMi00NTAwLThhMDItMzhmZGFjN2JlNjRiXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.9/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""38%""}, {""Source"": ""Metacritic"", ""Value"": ""50/100""}], ""Metascore"": ""50"", ""imdbRating"": ""4.9"", ""imdbVotes"": ""48,910"", ""imdbID"": ""tt0104437"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$58,662,452"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,El nuevo Karate Kid,1994,2.0,4.6,36942,20,36,DELETE,"score_bayes=4.73 ≤ umbral DELETE=4.90 (R=4.6, v=36942, m=2000, C=7.14); además RT=20% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).",RT muy bajo (20% ≤ 20%) para una peli aparentemente conocida (36942 votos IMDb).,/mnt/Sagas/00.Sagas/Karate Kid/El nuevo Karate Kid (1994).mkv,5290499672,23240,plex://movie/5d776836999c64001ec2f7c9,tt0110657,https://m.media-amazon.com/images/M/MV5BY2FhMzYzZjMtOGFhZS00OWQxLWI2Y2ItMWYyZjJiNjE4YWRlXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/23240/thumb/1760497120,"{""Title"": ""The Next Karate Kid"", ""Year"": ""1994"", ""Rated"": ""PG"", ""Released"": ""09 Sep 1994"", ""Runtime"": ""107 min"", ""Genre"": ""Action, Drama, Family"", ""Director"": ""Christopher Cain"", ""Writer"": ""Robert Mark Kamen, Mark Lee"", ""Actors"": ""Pat Morita, Hilary Swank, Michael Ironside"", ""Plot"": ""Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl."", ""Language"": ""English, Japanese"", ""Country"": ""United States"", ""Awards"": ""1 win total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BY2FhMzYzZjMtOGFhZS00OWQxLWI2Y2ItMWYyZjJiNjE4YWRlXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.6/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""20%""}, {""Source"": ""Metacritic"", ""Value"": ""36/100""}], ""Metascore"": ""36"", ""imdbRating"": ""4.6"", ""imdbVotes"": ""36,942"", ""imdbID"": ""tt0110657"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$8,914,777"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Superheroes,Supergirl,1984,1.9,4.4,25078,19,41,DELETE,"score_bayes=4.60 ≤ umbral DELETE=4.90 (R=4.4, v=25078, m=2000, C=7.14); además RT=19% ≤ RT_DELETE_MAX_SCORE=50, lo que refuerza la decisión de borrar (público muy negativo).",RT muy bajo (19% ≤ 20%) para una peli aparentemente conocida (25078 votos IMDb).,/mnt/Infantil_01/01. Superheroes/02. DC/SD/Supergirl.avi,2027048960,21342,plex://movie/5d9f34f8b0262f001f6e8feb,tt0088206,https://m.media-amazon.com/images/M/MV5BODQzZTdjMmYtOWFiYS00NWRlLWI5NTYtZTExNGYyMTFmZTUzXkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21342/thumb/1763870380,"{""Title"": ""Supergirl"", ""Year"": ""1984"", ""Rated"": ""PG"", ""Released"": ""21 Nov 1984"", ""Runtime"": ""124 min"", ""Genre"": ""Action, Adventure, Fantasy"", ""Director"": ""Jeannot Szwarc"", ""Writer"": ""David Odell"", ""Actors"": ""Helen Slater, Faye Dunaway, Peter O'Toole"", ""Plot"": ""After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch."", ""Language"": ""English"", ""Country"": ""United Kingdom, United States, Netherlands"", ""Awards"": ""3 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BODQzZTdjMmYtOWFiYS00NWRlLWI5NTYtZTExNGYyMTFmZTUzXkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""4.4/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""19%""}, {""Source"": ""Metacritic"", ""Value"": ""41/100""}], ""Metascore"": ""41"", ""imdbRating"": ""4.4"", ""imdbVotes"": ""25,078"", ""imdbID"": ""tt0088206"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$14,296,438"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
Sagas,Star Wars I :  La amenaza fantasma,1999,5.4,6.5,910757,54,51,MAYBE,score_bayes=6.50 entre umbral DELETE=4.90 y KEEP=7.50 (evidencia intermedia),Title mismatch: Plex='Star Wars I :  La amenaza fantasma' vs OMDb='Star Wars: Episode I - The Phantom Menace' (sim=0.52),/mnt/Sagas/00.Sagas/Star Wars/Star Wars I - La Amenaza Fantasma (1999).mkv,1759460165,21033,plex://movie/5d77682a961905001eb91f0f,tt0120915,https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg,N/A,/library/metadata/21033/thumb/1762052386,"{""Title"": ""Star Wars: Episode I - The Phantom Menace"", ""Year"": ""1999"", ""Rated"": ""PG"", ""Released"": ""19 May 1999"", ""Runtime"": ""136 min"", ""Genre"": ""Action, Adventure, Fantasy"", ""Director"": ""George Lucas"", ""Writer"": ""George Lucas"", ""Actors"": ""Ewan McGregor, Liam Neeson, Natalie Portman"", ""Plot"": ""Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory."", ""Language"": ""English, Sanskrit"", ""Country"": ""United States, United Kingdom"", ""Awards"": ""Nominated for 3 Oscars. 28 wins & 71 nominations total"", ""Poster"": ""https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg"", ""Ratings"": [{""Source"": ""Internet Movie Database"", ""Value"": ""6.5/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""54%""}, {""Source"": ""Metacritic"", ""Value"": ""51/100""}], ""Metascore"": ""51"", ""imdbRating"": ""6.5"", ""imdbVotes"": ""910,757"", ""imdbID"": ""tt0120915"", ""Type"": ""movie"", ""DVD"": ""N/A"", ""BoxOffice"": ""$487,576,624"", ""Production"": ""N/A"", ""Website"": ""N/A"", ""Response"": ""True""}",,
